,depature_day,depature_time,depature_office,arrival_office,car_type,lead_time,unused
22843478,20190428,13,101,105,1,709.0,
22843483,20190428,0,101,105,1,612.0,
22843487,20190428,1,101,105,1,608.0,
22843491,20190428,2,101,105,1,604.0,
22843498,20190428,7,101,105,1,632.0,
22843506,20190428,11,101,105,1,698.0,
22843512,20190428,19,101,105,1,1132.0,
22843526,20190428,8,101,105,1,643.0,
22843535,20190428,22,101,105,1,867.0,
22843540,20190428,3,101,105,1,599.0,
22843544,20190428,4,101,105,1,588.0,
22843551,20190428,5,101,105,1,595.0,
22843557,20190428,14,101,105,1,750.0,
22843563,20190428,17,101,105,1,1176.0,
22843569,20190428,21,101,105,1,945.0,
22843575,20190428,6,101,105,1,612.0,
22843580,20190428,23,101,105,1,800.0,
22843587,20190428,20,101,105,1,1021.0,
22843596,20190428,16,101,105,1,1032.0,
22843598,20190428,9,101,105,1,667.0,
22843603,20190428,18,101,105,1,1172.0,
22843611,20190428,15,101,105,1,825.0,
22843617,20190428,12,101,105,1,699.0,
23603698,20190429,0,101,105,1,596.0,
23622431,20190429,1,101,105,1,597.0,
23636296,20190429,2,101,105,1,592.0,
23648013,20190429,3,101,105,1,595.0,
23659909,20190429,4,101,105,1,599.0,
23675635,20190429,5,101,105,1,634.0,
23702377,20190429,6,101,105,1,735.0,
23742471,20190429,7,101,105,1,950.0,
23791880,20190429,8,101,105,1,981.0,
23844823,20190429,9,101,105,1,950.0,
23899015,20190429,10,101,105,1,1003.0,
23956326,20190429,11,101,105,1,989.0,
24014184,20190429,12,101,105,1,993.0,
24068850,20190429,13,101,105,1,1008.0,
24116528,20190429,14,101,105,1,984.0,
24164265,20190429,15,101,105,1,1245.0,
24211578,20190429,16,101,105,1,1274.0,
24257634,20190429,17,101,105,1,1215.0,
24301764,20190429,18,101,105,1,1183.0,
24342978,20190429,19,101,105,1,1248.0,
24378496,20190429,20,101,105,1,1097.0,
24408250,20190429,21,101,105,1,973.0,
24434019,20190429,22,101,105,1,875.0,
24455658,20190429,23,101,105,1,802.0,
24478770,20190430,0,101,105,1,597.0,
24496249,20190430,1,101,105,1,599.0,
24510570,20190430,2,101,105,1,599.0,
24523285,20190430,3,101,105,1,596.0,
24536334,20190430,4,101,105,1,593.0,
24552511,20190430,5,101,105,1,604.0,
24578902,20190430,6,101,105,1,647.0,
24618816,20190430,7,101,105,1,728.0,
24663173,20190430,8,101,105,1,796.0,
24708630,20190430,9,101,105,1,822.0,
24756522,20190430,10,101,105,1,899.0,
24807715,20190430,11,101,105,1,1093.0,
24856731,20190430,12,101,105,1,1088.0,
24905437,20190430,13,101,105,1,1028.0,
24955194,20190430,14,101,105,1,957.0,
25005426,20190430,15,101,105,1,900.0,
25055807,20190430,16,101,105,1,924.0,
25105374,20190430,17,101,105,1,955.0,
25154059,20190430,18,101,105,1,964.0,
25200949,20190430,19,101,105,1,1120.0,
25243389,20190430,20,101,105,1,1171.0,
25280302,20190430,21,101,105,1,1046.0,
25311631,20190430,22,101,105,1,934.0,
25336889,20190430,23,101,105,1,848.0,
