,depature_day,depature_time,depature_office,arrival_office,car_type,lead_time,unused
4307039,20190406,10,101,105,1,1223.0,
4362368,20190406,11,101,105,1,1248.0,
4411764,20190406,12,101,105,1,1151.0,
4459210,20190406,13,101,105,1,1060.0,
4505399,20190406,14,101,105,1,1137.0,
4551560,20190406,15,101,105,1,1106.0,
4597835,20190406,16,101,105,1,1143.0,
4644575,20190406,17,101,105,1,1147.0,
4690804,20190406,18,101,105,1,1106.0,
4734874,20190406,19,101,105,1,1092.0,
4773961,20190406,20,101,105,1,997.0,
4808714,20190406,21,101,105,1,908.0,
4838840,20190406,22,101,105,1,837.0,
4840432,20190407,17,101,105,1,1197.0,
4840482,20190407,20,101,105,1,1141.0,
4840558,20190407,13,101,105,1,723.0,
4840586,20190407,16,101,105,1,1225.0,
4840685,20190407,22,101,105,1,951.0,
4840858,20190407,12,101,105,1,701.0,
4840966,20190407,19,101,105,1,1234.0,
4841101,20190407,0,101,105,1,610.0,
4841187,20190407,1,101,105,1,602.0,
4841372,20190407,8,101,105,1,640.0,
4841506,20190407,21,101,105,1,1056.0,
4841670,20190407,15,101,105,1,1139.0,
4841689,20190407,2,101,105,1,599.0,
4841770,20190407,3,101,105,1,592.0,
4841824,20190407,4,101,105,1,588.0,
4841908,20190407,5,101,105,1,598.0,
4841981,20190407,9,101,105,1,668.0,
4842260,20190407,11,101,105,1,703.0,
4842330,20190407,14,101,105,1,1023.0,
4842353,20190407,18,101,105,1,1241.0,
4842458,20190407,23,101,105,1,862.0,
4842506,20190407,6,101,105,1,605.0,
4842605,20190407,7,101,105,1,626.0,
4842971,20190407,10,101,105,1,697.0,
4864034,20190406,23,101,105,1,780.0,
5593926,20190408,0,101,105,1,611.0,
5611021,20190408,1,101,105,1,610.0,
5623595,20190408,2,101,105,1,618.0,
5634017,20190408,3,101,105,1,607.0,
5644943,20190408,4,101,105,1,609.0,
5659893,20190408,5,101,105,1,638.0,
5684984,20190408,6,101,105,1,813.0,
5723360,20190408,7,101,105,1,1048.0,
5770847,20190408,8,101,105,1,1388.0,
5821398,20190408,9,101,105,1,1520.0,
5872956,20190408,10,101,105,1,1346.0,
5927324,20190408,11,101,105,1,1249.0,
5982089,20190408,12,101,105,1,1181.0,
6035804,20190408,13,101,105,1,1092.0,
6083794,20190408,14,101,105,1,1005.0,
6131769,20190408,15,101,105,1,936.0,
6178743,20190408,16,101,105,1,881.0,
6225249,20190408,17,101,105,1,909.0,
6270187,20190408,18,101,105,1,932.0,
6312024,20190408,19,101,105,1,1106.0,
6347838,20190408,20,101,105,1,1033.0,
6377858,20190408,21,101,105,1,928.0,
6403955,20190408,22,101,105,1,844.0,
6426167,20190408,23,101,105,1,780.0,
6445892,20190409,0,101,105,1,613.0,
6462752,20190409,1,101,105,1,608.0,
6476271,20190409,2,101,105,1,601.0,
6487925,20190409,3,101,105,1,605.0,
6499836,20190409,4,101,105,1,610.0,
6514538,20190409,5,101,105,1,620.0,
6538386,20190409,6,101,105,1,665.0,
6572442,20190409,7,101,105,1,757.0,
6611370,20190409,8,101,105,1,894.0,
6653841,20190409,9,101,105,1,923.0,
6698734,20190409,10,101,105,1,956.0,
6746852,20190409,11,101,105,1,1021.0,
6794591,20190409,12,101,105,1,1022.0,
6841252,20190409,13,101,105,1,950.0,
6888771,20190409,14,101,105,1,898.0,
6936975,20190409,15,101,105,1,860.0,
6984992,20190409,16,101,105,1,848.0,
7031981,20190409,17,101,105,1,899.0,
7077217,20190409,18,101,105,1,1130.0,
7118739,20190409,19,101,105,1,1372.0,
7154376,20190409,20,101,105,1,1375.0,
7184566,20190409,21,101,105,1,1200.0,
7210007,20190409,22,101,105,1,1058.0,
7231839,20190409,23,101,105,1,951.0,
7232160,20190410,15,101,105,1,915.0,
7232217,20190410,22,101,105,1,805.0,
7232247,20190410,11,101,105,1,940.0,
7232281,20190410,21,101,105,1,871.0,
7232292,20190410,1,101,105,1,648.0,
7232330,20190410,2,101,105,1,642.0,
7232382,20190410,3,101,105,1,642.0,
7232425,20190410,4,101,105,1,637.0,
7232454,20190410,16,101,105,1,879.0,
7232556,20190410,18,101,105,1,1010.0,
7232561,20190410,5,101,105,1,644.0,
7232654,20190410,12,101,105,1,978.0,
7232717,20190410,17,101,105,1,947.0,
7232820,20190410,8,101,105,1,848.0,
7232837,20190410,6,101,105,1,670.0,
7232941,20190410,7,101,105,1,756.0,
7233103,20190410,20,101,105,1,952.0,
7233226,20190410,23,101,105,1,755.0,
7233241,20190410,10,101,105,1,843.0,
7233349,20190410,14,101,105,1,949.0,
7233416,20190410,19,101,105,1,1052.0,
7233572,20190410,0,101,105,1,656.0,
7233634,20190410,9,101,105,1,839.0,
7233707,20190410,13,101,105,1,960.0,
8052796,20190411,0,101,105,1,599.0,
8069660,20190411,1,101,105,1,593.0,
8083053,20190411,2,101,105,1,588.0,
8094729,20190411,3,101,105,1,594.0,
8106561,20190411,4,101,105,1,597.0,
8121374,20190411,5,101,105,1,608.0,
8145078,20190411,6,101,105,1,658.0,
8181746,20190411,7,101,105,1,734.0,
8228190,20190411,8,101,105,1,830.0,
8277897,20190411,9,101,105,1,959.0,
8331175,20190411,10,101,105,1,1174.0,
8387638,20190411,11,101,105,1,1355.0,
8443724,20190411,12,101,105,1,1392.0,
8498586,20190411,13,101,105,1,1217.0,
8547300,20190411,14,101,105,1,1118.0,
8596675,20190411,15,101,105,1,1063.0,
8645764,20190411,16,101,105,1,1105.0,
8694118,20190411,17,101,105,1,1134.0,
8740899,20190411,18,101,105,1,1215.0,
8785185,20190411,19,101,105,1,1328.0,
8823188,20190411,20,101,105,1,1267.0,
8855183,20190411,21,101,105,1,1090.0,
8882836,20190411,22,101,105,1,962.0,
8905922,20190411,23,101,105,1,864.0,
8928410,20190412,0,101,105,1,612.0,
8946278,20190412,1,101,105,1,606.0,
8960589,20190412,2,101,105,1,616.0,
8973116,20190412,3,101,105,1,614.0,
8985930,20190412,4,101,105,1,613.0,
9001900,20190412,5,101,105,1,626.0,
9027004,20190412,6,101,105,1,664.0,
9065894,20190412,7,101,105,1,724.0,
9114405,20190412,8,101,105,1,851.0,
9167019,20190412,9,101,105,1,900.0,
9221047,20190412,10,101,105,1,910.0,
9278057,20190412,11,101,105,1,1053.0,
9331398,20190412,12,101,105,1,980.0,
9380959,20190412,13,101,105,1,949.0,
9431544,20190412,14,101,105,1,1084.0,
9483505,20190412,15,101,105,1,1279.0,
9535687,20190412,16,101,105,1,1239.0,
9587839,20190412,17,101,105,1,1233.0,
9638962,20190412,18,101,105,1,1328.0,
9688524,20190412,19,101,105,1,1423.0,
9734196,20190412,20,101,105,1,1460.0,
9774871,20190412,21,101,105,1,1403.0,
9810376,20190412,22,101,105,1,1199.0,
9839366,20190412,23,101,105,1,1038.0,
9865589,20190413,0,101,105,1,627.0,
9886862,20190413,1,101,105,1,616.0,
9903500,20190413,2,101,105,1,607.0,
9917469,20190413,3,101,105,1,600.0,
9930842,20190413,4,101,105,1,606.0,
9946815,20190413,5,101,105,1,623.0,
9970826,20190413,6,101,105,1,656.0,
10006906,20190413,7,101,105,1,777.0,
10050645,20190413,8,101,105,1,910.0,
10099731,20190413,9,101,105,1,900.0,
10152982,20190413,10,101,105,1,900.0,
10210486,20190413,11,101,105,1,1029.0,
10262159,20190413,12,101,105,1,1067.0,
10311212,20190413,13,101,105,1,1097.0,
10358383,20190413,14,101,105,1,1085.0,
10405719,20190413,15,101,105,1,1249.0,
10453902,20190413,16,101,105,1,1297.0,
10502202,20190413,17,101,105,1,1322.0,
10549874,20190413,18,101,105,1,1395.0,
10596369,20190413,19,101,105,1,1465.0,
10637964,20190413,20,101,105,1,1432.0,
10673877,20190413,21,101,105,1,1334.0,
10705703,20190413,22,101,105,1,1145.0,
10709662,20190414,11,101,105,1,695.0,
10709765,20190414,18,101,105,1,1230.0,
10709776,20190414,8,101,105,1,635.0,
10709838,20190414,9,101,105,1,651.0,
10709880,20190414,20,101,105,1,1010.0,
10709954,20190414,22,101,105,1,860.0,
10710018,20190414,15,101,105,1,1081.0,
10710030,20190414,23,101,105,1,790.0,
10710210,20190414,6,101,105,1,608.0,
10710473,20190414,21,101,105,1,935.0,
10710500,20190414,2,101,105,1,607.0,
10710578,20190414,3,101,105,1,601.0,
10710619,20190414,4,101,105,1,608.0,
10710664,20190414,5,101,105,1,607.0,
10710744,20190414,13,101,105,1,715.0,
10710852,20190414,17,101,105,1,1258.0,
10711051,20190414,14,101,105,1,847.0,
10711352,20190414,0,101,105,1,613.0,
10711470,20190414,1,101,105,1,608.0,
10711649,20190414,12,101,105,1,704.0,
10711719,20190414,19,101,105,1,1105.0,
10711880,20190414,16,101,105,1,1163.0,
10712037,20190414,7,101,105,1,619.0,
10712136,20190414,10,101,105,1,676.0,
10732641,20190413,23,101,105,1,999.0,
11479246,20190415,0,101,105,1,618.0,
11496920,20190415,1,101,105,1,615.0,
11510142,20190415,2,101,105,1,611.0,
11521171,20190415,3,101,105,1,612.0,
11532729,20190415,4,101,105,1,607.0,
11548437,20190415,5,101,105,1,641.0,
11575430,20190415,6,101,105,1,746.0,
11616777,20190415,7,101,105,1,923.0,
11667852,20190415,8,101,105,1,1019.0,
11722031,20190415,9,101,105,1,1008.0,
11777049,20190415,10,101,105,1,1031.0,
11835512,20190415,11,101,105,1,1120.0,
11894227,20190415,12,101,105,1,1218.0,
11950548,20190415,13,101,105,1,1108.0,
12003358,20190415,14,101,105,1,1048.0,
12052414,20190415,15,101,105,1,981.0,
12101268,20190415,16,101,105,1,924.0,
12148836,20190415,17,101,105,1,988.0,
12195304,20190415,18,101,105,1,1114.0,
12238496,20190415,19,101,105,1,1320.0,
12275633,20190415,20,101,105,1,1463.0,
12307140,20190415,21,101,105,1,1232.0,
12334328,20190415,22,101,105,1,1057.0,
12357367,20190415,23,101,105,1,929.0,
12380046,20190416,0,101,105,1,589.0,
12397927,20190416,1,101,105,1,589.0,
12412600,20190416,2,101,105,1,592.0,
12425374,20190416,3,101,105,1,593.0,
12438211,20190416,4,101,105,1,595.0,
12454614,20190416,5,101,105,1,613.0,
12480930,20190416,6,101,105,1,669.0,
12515631,20190416,7,101,105,1,743.0,
12558511,20190416,8,101,105,1,878.0,
12604469,20190416,9,101,105,1,938.0,
12652764,20190416,10,101,105,1,1012.0,
12703791,20190416,11,101,105,1,1125.0,
12753446,20190416,12,101,105,1,1141.0,
12801982,20190416,13,101,105,1,1087.0,
12850821,20190416,14,101,105,1,1104.0,
12900437,20190416,15,101,105,1,1135.0,
12949563,20190416,16,101,105,1,1095.0,
12998409,20190416,17,101,105,1,1047.0,
13045657,20190416,18,101,105,1,1175.0,
13089739,20190416,19,101,105,1,1193.0,
13127412,20190416,20,101,105,1,1076.0,
13158826,20190416,21,101,105,1,957.0,
13185827,20190416,22,101,105,1,867.0,
13208758,20190416,23,101,105,1,795.0,
13230210,20190417,0,101,105,1,580.0,
13247841,20190417,1,101,105,1,582.0,
13262009,20190417,2,101,105,1,584.0,
13274401,20190417,3,101,105,1,592.0,
13287027,20190417,4,101,105,1,595.0,
13302700,20190417,5,101,105,1,611.0,
13328202,20190417,6,101,105,1,660.0,
13367351,20190417,7,101,105,1,752.0,
13415614,20190417,8,101,105,1,901.0,
13467107,20190417,9,101,105,1,1131.0,
13520207,20190417,10,101,105,1,1282.0,
13576170,20190417,11,101,105,1,1323.0,
13631331,20190417,12,101,105,1,1257.0,
13679320,20190417,13,101,105,1,1131.0,
13727846,20190417,14,101,105,1,1037.0,
13777360,20190417,15,101,105,1,972.0,
13826379,20190417,16,101,105,1,959.0,
13874191,20190417,17,101,105,1,1039.0,
13920518,20190417,18,101,105,1,1071.0,
13963933,20190417,19,101,105,1,1078.0,
14001620,20190417,20,101,105,1,1064.0,
14032941,20190417,21,101,105,1,980.0,
14059753,20190417,22,101,105,1,886.0,
14082704,20190417,23,101,105,1,818.0,
14104609,20190418,0,101,105,1,613.0,
14122684,20190418,1,101,105,1,611.0,
14136776,20190418,2,101,105,1,606.0,
14148658,20190418,3,101,105,1,603.0,
14160690,20190418,4,101,105,1,605.0,
14175964,20190418,5,101,105,1,617.0,
14200389,20190418,6,101,105,1,667.0,
14238427,20190418,7,101,105,1,776.0,
14285530,20190418,8,101,105,1,959.0,
14336136,20190418,9,101,105,1,1024.0,
14389770,20190418,10,101,105,1,1012.0,
14446338,20190418,11,101,105,1,1087.0,
14502961,20190418,12,101,105,1,1308.0,
14555575,20190418,13,101,105,1,1178.0,
14604548,20190418,14,101,105,1,1065.0,
14654130,20190418,15,101,105,1,993.0,
14703555,20190418,16,101,105,1,922.0,
14751683,20190418,17,101,105,1,882.0,
14798782,20190418,18,101,105,1,1048.0,
14842839,20190418,19,101,105,1,1166.0,
14880911,20190418,20,101,105,1,1069.0,
14912652,20190418,21,101,105,1,961.0,
14940293,20190418,22,101,105,1,872.0,
14963111,20190418,23,101,105,1,799.0,
14985744,20190419,0,101,105,1,602.0,
15003607,20190419,1,101,105,1,594.0,
15018085,20190419,2,101,105,1,588.0,
15030560,20190419,3,101,105,1,613.0,
15043372,20190419,4,101,105,1,605.0,
15059570,20190419,5,101,105,1,617.0,
15085276,20190419,6,101,105,1,686.0,
15124481,20190419,7,101,105,1,762.0,
15172510,20190419,8,101,105,1,839.0,
15225126,20190419,9,101,105,1,861.0,
15279449,20190419,10,101,105,1,940.0,
15336602,20190419,11,101,105,1,1030.0,
15393583,20190419,12,101,105,1,1300.0,
15443134,20190419,13,101,105,1,1344.0,
15493735,20190419,14,101,105,1,1287.0,
15545728,20190419,15,101,105,1,1183.0,
15598093,20190419,16,101,105,1,1124.0,
15649669,20190419,17,101,105,1,1102.0,
15700786,20190419,18,101,105,1,1161.0,
15750173,20190419,19,101,105,1,1432.0,
15795531,20190419,20,101,105,1,1506.0,
15835455,20190419,21,101,105,1,1294.0,
15870047,20190419,22,101,105,1,1112.0,
15898549,20190419,23,101,105,1,976.0,
15924315,20190420,0,101,105,1,606.0,
15945224,20190420,1,101,105,1,604.0,
15961649,20190420,2,101,105,1,598.0,
15975460,20190420,3,101,105,1,597.0,
15988724,20190420,4,101,105,1,608.0,
16004742,20190420,5,101,105,1,619.0,
16029067,20190420,6,101,105,1,651.0,
16065431,20190420,7,101,105,1,742.0,
16109460,20190420,8,101,105,1,915.0,
16158713,20190420,9,101,105,1,965.0,
16212216,20190420,10,101,105,1,1082.0,
16269518,20190420,11,101,105,1,1060.0,
16322347,20190420,12,101,105,1,974.0,
16370741,20190420,13,101,105,1,938.0,
16417950,20190420,14,101,105,1,1121.0,
16464892,20190420,15,101,105,1,1217.0,
16512402,20190420,16,101,105,1,1282.0,
16560181,20190420,17,101,105,1,1390.0,
16607562,20190420,18,101,105,1,1515.0,
16652806,20190420,19,101,105,1,1578.0,
16692869,20190420,20,101,105,1,1342.0,
16727602,20190420,21,101,105,1,1159.0,
16757953,20190420,22,101,105,1,1026.0,
16783917,20190420,23,101,105,1,916.0,
16799664,20190421,6,101,105,1,631.0,
16799673,20190421,10,101,105,1,688.0,
16799682,20190421,23,101,105,1,813.0,
16799688,20190421,21,101,105,1,953.0,
16799695,20190421,17,101,105,1,1072.0,
16799698,20190421,7,101,105,1,642.0,
16799708,20190421,9,101,105,1,672.0,
16799715,20190421,13,101,105,1,712.0,
16799724,20190421,22,101,105,1,886.0,
16799734,20190421,3,101,105,1,628.0,
16799741,20190421,4,101,105,1,627.0,
16799747,20190421,5,101,105,1,629.0,
16799755,20190421,14,101,105,1,736.0,
16799770,20190421,15,101,105,1,1062.0,
16799773,20190421,18,101,105,1,1050.0,
16799782,20190421,19,101,105,1,1018.0,
16799787,20190421,16,101,105,1,1046.0,
16799790,20190421,11,101,105,1,706.0,
16799799,20190421,12,101,105,1,702.0,
16799807,20190421,0,101,105,1,653.0,
16799812,20190421,1,101,105,1,645.0,
16799817,20190421,2,101,105,1,636.0,
16799820,20190421,8,101,105,1,648.0,
16799830,20190421,20,101,105,1,978.0,
17560267,20190422,0,101,105,1,610.0,
17578709,20190422,1,101,105,1,604.0,
17592258,20190422,2,101,105,1,598.0,
17603598,20190422,3,101,105,1,594.0,
17615546,20190422,4,101,105,1,592.0,
17631801,20190422,5,101,105,1,623.0,
17659353,20190422,6,101,105,1,741.0,
17701343,20190422,7,101,105,1,952.0,
17752938,20190422,8,101,105,1,1156.0,
17807188,20190422,9,101,105,1,1194.0,
17862978,20190422,10,101,105,1,1252.0,
17920978,20190422,11,101,105,1,1302.0,
17979699,20190422,12,101,105,1,1343.0,
18034525,20190422,13,101,105,1,1202.0,
18083674,20190422,14,101,105,1,1077.0,
18133214,20190422,15,101,105,1,993.0,
18182607,20190422,16,101,105,1,958.0,
18230483,20190422,17,101,105,1,923.0,
18277113,20190422,18,101,105,1,972.0,
18320846,20190422,19,101,105,1,1208.0,
18358354,20190422,20,101,105,1,1113.0,
18390004,20190422,21,101,105,1,989.0,
18417576,20190422,22,101,105,1,887.0,
18440569,20190422,23,101,105,1,811.0,
18465300,20190423,0,101,105,1,605.0,
18483333,20190423,1,101,105,1,602.0,
18498071,20190423,2,101,105,1,597.0,
18510869,20190423,3,101,105,1,605.0,
18524041,20190423,4,101,105,1,605.0,
18540565,20190423,5,101,105,1,614.0,
18567616,20190423,6,101,105,1,662.0,
18605626,20190423,7,101,105,1,773.0,
18648602,20190423,8,101,105,1,907.0,
18695005,20190423,9,101,105,1,937.0,
18743992,20190423,10,101,105,1,996.0,
18795089,20190423,11,101,105,1,1057.0,
18844573,20190423,12,101,105,1,1177.0,
18892931,20190423,13,101,105,1,1186.0,
18942273,20190423,14,101,105,1,1073.0,
